trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",25,0,-46.884579571231356,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-78.39498823136387,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-41.215577714411154,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",25,0,-111.69154510995295,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",25,0,-210.0582866644436,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",30,0,-77.94927711848777,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-109.87863409731689,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-144.33029641045871,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",30,0,-156.8974414023406,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",20,0,-126.19907698332325,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",30,5,-201.74712796584382,"{0: 7, 1: 6, 2: 10, 3: 0, 4: 2}",1
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,0,-149.47089833069853,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",30,10,-64.91788832364769,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-98.7075497969398,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",25,7,-106.54862308882011,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 1}",1
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,0,-132.31819398859747,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-100.35625628845143,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",30,17,-20.71761740039388,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 0}",1
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-142.81476174098466,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",35,0,-308.37957102525854,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 6}",0
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",30,0,-81.38891636021327,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",20,2,-92.3513132265318,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",20,0,-137.96645110171548,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",25,0,-147.06777641055845,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,6,-95.50990332787254,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 1}",1
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",20,0,-100.85392158205424,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,0,-187.7215812921382,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",20,0,-93.68874078533977,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-113.1096341561253,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
